,Workload,ReplacementPolicy,IPC,LLC_Load_Access,LLC_Load_Hit,LLC_Load_Miss,LLC_Load_MPKI,LLC_Miss_Latency,L2C_Load_Access,L2C_Load_Hit,L2C_Load_Miss,L2C_Load_MPKI,L2C_Miss_Latency,L1D_Load_Access,L1D_Load_Hit,L1D_Load_Miss,L1D_Load_MPKI,L1D_Miss_Latency
20,bc-0,drrip,0.145781,3729837.0,1482801.0,2247036.0,44.94072,226.187,4173831.0,443994.0,3729837.0,74.59674,159.344,10381094.0,6207263.0,4173831.0,83.47662,153.57
21,bc-12,drrip,0.149486,3676754.0,1425269.0,2251485.0,45.0297,237.172,4171418.0,494663.0,3676755.0,73.5351,168.528,11660107.0,7488689.0,4171418.0,83.42836,159.733
22,bc-3,drrip,0.165216,3624859.0,1620445.0,2004414.0,40.08828,225.631,4334822.0,709963.0,3624859.0,72.49718,147.595,9456948.0,5122126.0,4334822.0,86.69644,134.72
23,bc-5,drrip,0.209938,3628471.0,1353974.0,2274497.0,45.48994,414.25,3944969.0,316485.0,3628484.0,72.56968,284.796,10026464.0,6081494.0,3944970.0,78.8994,273.327
24,bfs-10,drrip,0.244244,901075.0,44348.0,856727.0,17.13454,147.905,2177687.0,1276612.0,901075.0,18.0215,162.405,9285911.0,7108225.0,2177686.0,43.55372,78.1994
25,bfs-14,drrip,0.281109,835271.0,52251.0,783020.0,15.6604,142.039,1157328.0,322057.0,835271.0,16.70542,154.546,7312491.0,6155170.0,1157321.0,23.14642,122.269
26,bfs-3,drrip,0.241125,902381.0,49022.0,853359.0,17.06718,146.623,1596072.0,693691.0,902381.0,18.04762,160.273,8421832.0,6825764.0,1596068.0,31.92136,101.468
27,bfs-8,drrip,0.316515,822143.0,54941.0,767202.0,15.34404,171.489,1016220.0,194077.0,822143.0,16.44286,182.323,5951095.0,4934889.0,1016206.0,20.32412,160.284
28,cc-13,drrip,0.22623,2616253.0,1615063.0,1001190.0,20.0238,175.058,3755397.0,1139144.0,2616253.0,52.32506,88.1353,10537536.0,6782139.0,3755397.0,75.10794,72.558
29,cc-14,drrip,0.261181,2553981.0,1579040.0,974941.0,19.49882,181.68,3656842.0,1102861.0,2553981.0,51.07962,90.5086,10248808.0,6591966.0,3656842.0,73.13684,74.43
30,cc-5,drrip,0.290523,2514041.0,1553986.0,960055.0,19.2011,183.828,3601116.0,1087074.0,2514042.0,50.28084,91.3569,10022839.0,6421723.0,3601116.0,72.02232,75.0195
31,cc-6,drrip,0.209624,2784980.0,1725681.0,1059299.0,21.18598,176.668,3999414.0,1214434.0,2784980.0,55.6996,88.3375,10769660.0,6770245.0,3999415.0,79.9883,72.6848
